person_id,student_id,employee_id,name,address,personal_email,personal_phone,prgm_start_date,student_status,hire_date,termination_date,employee_email,student_email
18354,16242,5425,Jessica Moran,"56848 Patricia Rest Apt. 465 Lake Debrafurt, WY 03496",smithanthony@example.net,(344)226-1586x768,2016-07-26,Inactive,2002-11-26,,JessicaMoran@u.edu,JessicaMoran@my.u.edu
18355,16243,5426,Justin Ortega,"0669 Spencer Neck East Jonathanville, WI 21216",lroberts@example.org,001-729-592-5806x151,2000-07-25,Inactive,2000-12-03,2022-12-31,JustinOrtega@u.edu,JustinOrtega@my.u.edu
18356,16244,5427,Jonathan Manning,"57655 King Drive Suite 039 West Alexandria, WA 87813",corysilva@example.com,345.559.6663x252,2009-03-29,Inactive,2001-03-02,2019-10-26,JonathanManning@u.edu,JonathanManning@my.u.edu
18357,16245,5428,Victor Burke,"4392 Rodriguez Shores North Danielletown, RI 71042",jenniferbowers@example.net,+1-829-753-1230x61970,2015-04-05,Inactive,2002-06-10,,VictorBurke@u.edu,VictorBurke@my.u.edu
18358,16246,5429,Christopher Clark,"399 Lawson River Lake Dominiqueview, AR 01145",lisanewton@example.org,782-820-4719x6629,2017-11-02,Inactive,2006-12-27,2013-08-15,ChristopherClark@u.edu,ChristopherClark@my.u.edu
18359,16247,5430,William Chen,"PSC 5352, Box 9616 APO AP 57200",michelle12@example.com,404-384-5038x754,2007-12-13,Inactive,2007-10-28,2020-07-18,WilliamChen@u.edu,WilliamChen@my.u.edu
18360,16248,5431,Nathan Carrillo,"53906 Andrew Path Apt. 830 Michaelborough, KY 77034",patriciachen@example.org,721.276.6084,1995-03-03,Inactive,2011-03-25,2016-05-25,NathanCarrillo@u.edu,NathanCarrillo@my.u.edu
18361,16249,5432,Nathan Jensen,"8747 Allen Village Dunnchester, NJ 65781",williamsamber@example.com,001-501-978-4315x9026,1996-03-15,Inactive,2004-11-01,2005-09-09,NathanJensen@u.edu,NathanJensen@my.u.edu
18362,16250,5433,Nicholas Woods,"723 Michael Court West Mikayla, FL 89113",brian62@example.net,+1-532-833-6602x424,2014-06-27,Inactive,2012-01-23,2014-08-22,NicholasWoods@u.edu,NicholasWoods@my.u.edu
18363,16251,5434,Karl Horne,"246 Mark Tunnel Apt. 596 Castilloside, IL 76813",oallison@example.net,+1-712-642-7058x5834,2009-05-26,Inactive,2021-05-09,2023-04-20,KarlHorne@u.edu,KarlHorne@my.u.edu
18364,,5435,Linda Miller,"0972 Ware Springs East Nancy, AL 49139",piercehannah@example.com,001-340-471-9900,,,2000-06-28,2019-09-03,LindaMiller@u.edu,
18365,,5436,Nicholas Mitchell,"20617 Blankenship Plaza South Debra, OH 57899",knelson@example.com,(200)937-0040,,,1996-03-27,2013-03-22,NicholasMitchell@u.edu,
18366,,5437,Robert Yang,"30748 Ramirez Dale Apt. 074 South Carlaside, MA 88595",hcook@example.com,638.635.6830,,,2011-01-17,2012-09-27,RobertYang@u.edu,
18367,,5438,Melissa Martinez,"1693 May Flats Apt. 364 Mathewsmouth, UT 32964",markthomas@example.org,001-402-513-6942x91987,,,2015-08-29,2020-02-14,MelissaMartinez@u.edu,
18368,,5439,Frank Castro,Unit 3139 Box 0467 DPO AE 29859,sthompson@example.org,636-282-4655,,,2007-12-11,,FrankCastro@u.edu,
18369,,5440,Emily Miller,"720 Eric Lights Suite 126 New George, AR 52384",timothymcknight@example.com,(556)237-6543,,,2018-03-29,2024-05-19,EmilyMiller@u.edu,
18370,,5441,Jordan Miller,"90117 Phillips Plaza Apt. 439 South Tammy, AS 81319",jamescharles@example.org,(792)821-2701x3078,,,1997-02-04,2017-12-26,JordanMiller@u.edu,
18371,,5442,Brett Davis,"66471 Singleton Lodge South Trevor, WV 56283",corybrown@example.net,416-575-9533,,,2007-10-13,2022-06-04,BrettDavis@u.edu,
18372,,5443,Samuel Holland,"469 Rice Burg Apt. 527 Daughertyville, TX 09831",petergallegos@example.net,475.875.2699,,,2021-12-18,2022-04-21,SamuelHolland@u.edu,
18373,,5444,Randy Brown,"95636 Reese Mountain Apt. 753 Saraville, LA 15237",davidherrera@example.org,683-410-8310x59963,,,2007-08-05,2024-04-27,RandyBrown@u.edu,
18374,,5445,Calvin Hill,"741 Middleton Plain Suite 294 East Andreachester, DE 48629",mayian@example.org,482.866.4797x853,,,2007-12-26,,CalvinHill@u.edu,
18375,,5446,Anthony Buchanan,"646 Amanda Common New John, WI 41479",brianwhite@example.org,+1-574-255-3498,,,2007-07-13,,AnthonyBuchanan@u.edu,
18376,,5447,Brittany Chang,USNS Banks FPO AE 58720,alanwilliams@example.org,+1-578-912-0988,,,2007-02-09,2007-10-19,BrittanyChang@u.edu,
18377,,5448,Becky Hendrix,"182 Brent Springs Apt. 683 Perryberg, VA 11426",spalmer@example.net,+1-597-976-4900,,,2024-12-27,2025-01-08,BeckyHendrix@u.edu,
18378,,5449,Dustin Turner,"5589 Vincent Hill New Loretta, PR 19102",udavis@example.org,210-950-4491x22461,,,2011-12-12,2016-09-20,DustinTurner@u.edu,
18379,,5450,Amy Santos,"680 Sarah Course Apt. 823 South Seanton, RI 75794",fjohnson@example.net,284-354-6641x398,,,1997-05-08,2010-03-24,AmySantos@u.edu,
18380,,5451,Scott Page,"4525 Mendez Spur Apt. 463 Port Anne, VA 80827",uwilliams@example.org,(952)749-3079x341,,,2015-11-28,2023-06-03,ScottPage@u.edu,
18381,,5452,Christopher Kelley,"75628 Melinda Throughway Apt. 419 Sethhaven, MH 12893",ggriffin@example.org,(411)615-8844,,,2021-06-15,2022-07-14,ChristopherKelley@u.edu,
18382,,5453,Abigail Hamilton,"857 Mercado Highway Apt. 983 Jeffreystad, NM 15478",hryan@example.net,451-843-7477,,,2014-09-01,2015-07-21,AbigailHamilton@u.edu,
18383,,5454,Colleen Williamson,"40694 Timothy Squares West Ashleyview, TN 68139",qsnyder@example.com,+1-401-651-8761x27798,,,2004-01-30,2013-09-05,ColleenWilliamson@u.edu,
18384,16172,,Lisa Jenkins,"PSC 0267, Box 0805 APO AP 17168",umata@example.com,(327)784-5725x76441,2015-10-24,Inactive,,,,LisaJenkins@my.u.edu
18385,16173,,Paul Harris,"PSC 7566, Box 7683 APO AP 10096",brandi72@example.org,001-474-655-7343x22526,2023-04-15,Active,,,,PaulHarris@my.u.edu
