id,name,address,personal_email,personal_phone,prgm_start_date,student_status
16172,Lisa Jenkins,"PSC 0267, Box 0805 APO AP 17168",umata@example.com,(327)784-5725x76441,2015-10-24,Inactive
16173,Paul Harris,"PSC 7566, Box 7683 APO AP 10096",brandi72@example.org,001-474-655-7343x22526,2023-04-15,Active
16174,Jessica Buckley,"23472 Anthony Dale Gonzalezhaven, WA 69158",jonestammy@example.net,631.893.1880,1997-08-18,Inactive
16175,Christine Stanley,"437 Michael Summit Shannonstad, MA 51520",matthew86@example.net,001-384-909-6230x04776,2022-06-30,Active
16176,Richard Moore,"86455 Hannah Trail Ruizborough, NY 78001",dana25@example.org,402.538.6816,2008-07-17,Inactive
16177,Phillip Barnett,Unit 3359 Box 4047 DPO AP 27762,rachelparker@example.net,951-904-9172,1997-06-30,Inactive
16178,Brooke Green,"4262 Jamie Pines Suite 092 Phillipshaven, GU 42132",sparksjennifer@example.org,(636)555-6494,2017-12-13,Inactive
16179,Amanda Burch,"85614 Calvin Manor Apt. 485 East Cody, NM 44041",kimberly02@example.org,2924988506,2000-01-10,Inactive
16180,Priscilla Garner,"473 Woods Via South Jonathan, WA 76647",sandragarcia@example.com,(589)867-5708x7292,1997-08-27,Inactive
16181,Sheri Silva,"9151 Christopher Isle New Jeremy, MP 48141",elizabeth74@example.org,589.794.3535x301,2008-07-04,Inactive
16182,Samantha Washington,"16999 Glover Hills Stephenschester, SD 36389",creid@example.org,900.333.9352x490,2021-12-08,Inactive
16183,Courtney Bowen,"2318 Andrew Spur Suite 462 Rodriguezstad, GU 66132",allisonbrown@example.org,(286)299-4143,2010-08-30,Inactive
16184,Alexis Lee,"827 Tran Haven Suite 528 West Austin, DE 42908",jenniferdavis@example.com,581-508-8857x5098,1998-01-11,Inactive
16185,Donald Pena,"63007 Jessica Glens Apt. 884 Jayfort, ME 85798",blong@example.net,001-760-426-0351x7444,2019-12-27,Inactive
16186,Kaylee Ramos,"048 Danielle Junctions Apt. 288 Davidview, VA 96919",justin32@example.net,520-282-1215x128,2009-04-17,Inactive
